Transaction,Status,Txnauthid,TxnDateTime,Txntype,Txnstatus,Error_Type,Errorcode,Error_Msg,Responsecode,Response_Description
Balance Enquiry,PASS,809312246523,2018-04-03 12:01:22.0,APBE,C,-,null,null,00,-
Mini statement,PASS,809312246524,2018-04-03 12:01:25.0,APMS,C,-,null,null,00,-
Transaction History,PASS,809312246525,2018-04-03 12:01:26.0,APTH,C,-,null,null,00,null
Generate MMID,PASS,809312246526,2018-04-03 12:01:30.0,APIM,C,-,null,null,00,null
Retrieve MMID,PASS,809312246527,2018-04-03 12:01:32.0,APS6,C,-,null,null,00,null
Generate MMID,PASS,809312246528,2018-04-03 12:01:33.0,APIM,C,-,null,null,00,null
Cancel MMID All,PASS,809312246529,2018-04-03 12:01:35.0,APRC,C,-,null,null,00,null
Generate MMID,PASS,809312246530,2018-04-03 12:01:36.0,APIM,C,-,null,null,00,null
Cancel MMID Single,PASS,809312246531,2018-04-03 12:01:38.0,APRC,C,-,null,null,00,null
Email ID fetch,PASS,809312246532,2018-04-03 12:01:39.0,APZ6,C,-,null,null,00,null
Email ID Update,PASS,809312246533,2018-04-03 12:01:40.0,APZ3,C,-,null,null,00,null
Cheque status,PASS,809312246535,2018-04-03 12:01:41.0,APLW,C,-,null,null,00,-
Account Fetch,PASS,809312246536,2018-04-03 12:01:45.0,APSY,C,-,null,null,00,-
Stop Cheque,PASS,809312246537,2018-04-03 12:01:50.0,APL4,C,-,null,null,00,-
Change Login Password,PASS,809312246538,2018-04-03 12:01:52.0,APP5,C,-,null,null,00,null
Balance Enquiry with closed Account,FAIL,809312246539,2018-04-03 12:01:53.0,APBE,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Balance Enquiry with Inactive Account,FAIL,809312246540,2018-04-03 12:01:54.0,APBE,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Balance Enquiry with Blocked Account,FAIL,809312246541,2018-04-03 12:01:55.0,APBE,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Balance Enquiry For Account Having Zero Balance,FAIL,809312246542,2018-04-03 12:01:56.0,APBE,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Balance Enquiry For Account Having Negative Balance,FAIL,809312246543,2018-04-03 12:01:57.0,APBE,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Mini statement For Closed Account,FAIL,809312246544,2018-04-03 12:01:58.0,APMS,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Mini statement For Inactive Account,FAIL,809312246545,2018-04-03 12:01:59.0,APMS,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Mini Statement For Blocked Account,FAIL,809312246546,2018-04-03 12:02:00.0,APMS,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Cheque Status Check Not Issued To Customer,PASS,809312246547,2018-04-03 12:02:01.0,APLW,C,-,null,null,00,-
Stop Cheque Check Already Stopped,PASS,809312246548,2018-04-03 12:02:03.0,APL4,C,-,null,null,00,-
Again Cancel All MMIDs,PASS,809312246549,2018-04-03 12:02:05.0,APIM,C,-,null,null,00,null
Again Cancel All MMIDs,PASS,809312246550,2018-04-03 12:02:06.0,APRC,C,-,null,null,00,null
Retrieve MMID,FAIL,809312246551,2018-04-03 12:02:08.0,APS6,F,C,null,null,09,Please do Generate MMID to proceed with the transaction.
Generate MMID,FAIL,809312246552,2018-04-03 12:02:09.0,APS6,F,C,null,null,09,Please do Generate MMID to proceed with the transaction.
