Transaction,Status,Txnauthid,TxnDateTime,Txntype,Txnstatus,Error_Type,Errorcode,Error_Msg,Responsecode,Response_Description
Balance Enquiry,PASS,808916245968,2018-03-30 16:48:00.0,APBE,C,-,null,null,00,-
Mini statement,PASS,808916245969,2018-03-30 16:48:02.0,APMS,C,-,null,null,00,-
Transaction History,PASS,808916245970,2018-03-30 16:48:03.0,APTH,C,-,null,null,00,null
Generate MMID,PASS,808916245971,2018-03-30 16:48:06.0,APIM,C,-,null,null,00,null
Retrieve MMID,PASS,808916245972,2018-03-30 16:48:07.0,APS6,C,-,null,null,00,null
Generate MMID,PASS,808916245973,2018-03-30 16:48:08.0,APIM,C,-,null,null,00,null
Cancel MMID All,PASS,808916245974,2018-03-30 16:48:10.0,APRC,C,-,null,null,00,null
Generate MMID,PASS,808916245975,2018-03-30 16:48:11.0,APIM,C,-,null,null,00,null
Cancel MMID Single,PASS,808916245976,2018-03-30 16:48:12.0,APRC,C,-,null,null,00,null
Email ID fetch,PASS,808916245977,2018-03-30 16:48:13.0,APZ6,C,-,null,null,00,null
Email ID Fetch,PASS,808916245978,2018-03-30 16:48:14.0,APZ3,C,-,null,null,00,null
Cheque status,PASS,808916245979,2018-03-30 16:48:15.0,APLW,C,-,null,null,00,-
Account Fetch,PASS,808916245980,2018-03-30 16:48:16.0,APSY,C,-,null,null,00,-
Stop Cheque,PASS,808916245981,2018-03-30 16:48:23.0,APL4,C,-,null,null,00,-
Change Login Password,PASS,808916245982,2018-03-30 16:48:25.0,APP5,C,-,null,null,00,null
